r2,mse,rmse,mae,mape,time
0.615328549,0.584799395,0.764721776,0.562792037,0.448507279,5.891504049
0.218080537,1.188718394,1.09028363,0.87600081,0.729690565,2.028151751
0.499202683,0.761340535,0.872548299,0.664258184,0.532799173,5.857550621
0.746187173,0.38586068,0.621176851,0.453822584,0.346711316,14.60222316
0.528407833,0.716941206,0.846723807,0.648502131,0.52964688,14.22504973
