r2,mse,rmse,mae,mape,time
0.7977860381650356,0.5601235161358427,0.7484140004942736,0.5563190450257062,0.1475663228961953,18.998166799545288
0.8092016459077436,0.5285027996944541,0.7269819803093156,0.5300721203735732,0.14118459252370627,1740.7813911437988
0.9401942584006244,0.16565919566470658,0.40701252519388953,0.2775222529689845,0.07654550940264995,16108.053814172745
0.8207773037070687,0.49643875184480574,0.7045840984898862,0.515002824858757,0.13705518623131083,1765.8279812335968
0.22893277270231438,2.13582129845011,1.4614449351412833,1.14890609605273,0.3074953456555175,5.7669517993927
0.876559012188165,0.341925945671727,0.5847443421459733,0.4332083211932379,0.11560742689181017,72.15920376777649
0.5192955023457944,1.3315296876886145,1.1539192726047236,0.8936653920838752,0.2372053280437041,18.422528982162476
0.8395360271905314,0.4444779373667605,0.6666917858851723,0.48590289147674137,0.1289176688091533,56.36673879623413
0.7272931144604093,0.7553857222161338,0.8691292897009821,0.6624261718093561,0.17370037616759226,60.92656683921814
0.8136288577673885,0.5162396233489629,0.7184981721263896,0.5240781544256121,0.13967119330050484,4999.000931978226
